03:55:05 [INFO] Fetching full-market snapshot...
03:55:06 [INFO] Snapshot loaded: 11741 tickers | 0 candidates (>=10% gap).
03:55:06 [INFO] Gapper classification complete: 0 tickers marked as gappers.
03:55:06 [INFO] Connecting to Massive WebSocket (T.*)...
03:55:06 [INFO] Scanner v2 running. Press Ctrl+C to stop.
03:55:37 [DEBUG] Saved 11741 tickers to scanner_v2\logs\scanner_data.json
03:56:07 [DEBUG] Saved 11741 tickers to scanner_v2\logs\scanner_data.json
03:56:37 [DEBUG] Saved 11741 tickers to scanner_v2\logs\scanner_data.json
03:57:08 [DEBUG] Saved 11741 tickers to scanner_v2\logs\scanner_data.json
03:57:38 [DEBUG] Saved 11741 tickers to scanner_v2\logs\scanner_data.json
03:58:09 [DEBUG] Saved 11741 tickers to scanner_v2\logs\scanner_data.json
03:58:39 [DEBUG] Saved 11741 tickers to scanner_v2\logs\scanner_data.json
03:59:09 [DEBUG] Saved 11741 tickers to scanner_v2\logs\scanner_data.json
03:59:40 [DEBUG] Saved 11741 tickers to scanner_v2\logs\scanner_data.json
04:00:10 [DEBUG] Saved 11747 tickers to scanner_v2\logs\scanner_data.json
04:00:40 [DEBUG] Saved 11748 tickers to scanner_v2\logs\scanner_data.json
04:01:11 [DEBUG] Saved 11749 tickers to scanner_v2\logs\scanner_data.json
04:01:41 [DEBUG] Saved 11749 tickers to scanner_v2\logs\scanner_data.json
04:02:12 [DEBUG] Saved 11750 tickers to scanner_v2\logs\scanner_data.json
04:02:42 [DEBUG] Saved 11750 tickers to scanner_v2\logs\scanner_data.json
04:03:12 [DEBUG] Saved 11750 tickers to scanner_v2\logs\scanner_data.json
04:03:43 [DEBUG] Saved 11750 tickers to scanner_v2\logs\scanner_data.json
04:04:13 [DEBUG] Saved 11750 tickers to scanner_v2\logs\scanner_data.json
04:04:44 [DEBUG] Saved 11750 tickers to scanner_v2\logs\scanner_data.json
04:05:14 [DEBUG] Saved 11752 tickers to scanner_v2\logs\scanner_data.json
04:05:44 [DEBUG] Saved 11752 tickers to scanner_v2\logs\scanner_data.json
04:06:15 [DEBUG] Saved 11752 tickers to scanner_v2\logs\scanner_data.json
04:06:45 [DEBUG] Saved 11752 tickers to scanner_v2\logs\scanner_data.json
04:07:16 [DEBUG] Saved 11752 tickers to scanner_v2\logs\scanner_data.json
04:07:46 [DEBUG] Saved 11752 tickers to scanner_v2\logs\scanner_data.json
04:08:16 [DEBUG] Saved 11752 tickers to scanner_v2\logs\scanner_data.json
04:08:47 [DEBUG] Saved 11752 tickers to scanner_v2\logs\scanner_data.json
04:09:17 [DEBUG] Saved 11753 tickers to scanner_v2\logs\scanner_data.json
04:09:47 [DEBUG] Saved 11753 tickers to scanner_v2\logs\scanner_data.json
04:10:18 [DEBUG] Saved 11753 tickers to scanner_v2\logs\scanner_data.json
04:10:48 [DEBUG] Saved 11754 tickers to scanner_v2\logs\scanner_data.json
04:11:19 [DEBUG] Saved 11754 tickers to scanner_v2\logs\scanner_data.json
04:11:49 [DEBUG] Saved 11755 tickers to scanner_v2\logs\scanner_data.json
04:12:19 [DEBUG] Saved 11755 tickers to scanner_v2\logs\scanner_data.json
04:12:50 [DEBUG] Saved 11755 tickers to scanner_v2\logs\scanner_data.json
04:13:20 [DEBUG] Saved 11755 tickers to scanner_v2\logs\scanner_data.json
04:13:50 [DEBUG] Saved 11755 tickers to scanner_v2\logs\scanner_data.json
04:14:21 [DEBUG] Saved 11755 tickers to scanner_v2\logs\scanner_data.json
04:14:51 [DEBUG] Saved 11755 tickers to scanner_v2\logs\scanner_data.json
04:15:21 [DEBUG] Saved 11756 tickers to scanner_v2\logs\scanner_data.json
04:15:52 [DEBUG] Saved 11756 tickers to scanner_v2\logs\scanner_data.json
04:16:22 [DEBUG] Saved 11756 tickers to scanner_v2\logs\scanner_data.json
04:16:53 [DEBUG] Saved 11757 tickers to scanner_v2\logs\scanner_data.json
04:17:23 [DEBUG] Saved 11757 tickers to scanner_v2\logs\scanner_data.json
04:17:53 [DEBUG] Saved 11757 tickers to scanner_v2\logs\scanner_data.json
04:18:24 [DEBUG] Saved 11757 tickers to scanner_v2\logs\scanner_data.json
04:18:54 [DEBUG] Saved 11758 tickers to scanner_v2\logs\scanner_data.json
04:19:25 [DEBUG] Saved 11758 tickers to scanner_v2\logs\scanner_data.json
04:19:55 [DEBUG] Saved 11758 tickers to scanner_v2\logs\scanner_data.json
04:20:25 [DEBUG] Saved 11758 tickers to scanner_v2\logs\scanner_data.json
04:20:56 [DEBUG] Saved 11758 tickers to scanner_v2\logs\scanner_data.json
04:21:26 [DEBUG] Saved 11758 tickers to scanner_v2\logs\scanner_data.json
04:21:56 [DEBUG] Saved 11758 tickers to scanner_v2\logs\scanner_data.json
04:22:27 [DEBUG] Saved 11758 tickers to scanner_v2\logs\scanner_data.json
04:22:57 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:23:28 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:23:58 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:24:28 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:24:59 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:25:29 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:25:59 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:26:30 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:27:00 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:27:30 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:28:01 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:28:31 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:29:02 [DEBUG] Saved 11759 tickers to scanner_v2\logs\scanner_data.json
04:29:32 [DEBUG] Saved 11760 tickers to scanner_v2\logs\scanner_data.json
04:30:02 [DEBUG] Saved 11761 tickers to scanner_v2\logs\scanner_data.json
04:30:33 [DEBUG] Saved 11761 tickers to scanner_v2\logs\scanner_data.json
04:31:03 [DEBUG] Saved 11761 tickers to scanner_v2\logs\scanner_data.json
04:31:33 [DEBUG] Saved 11761 tickers to scanner_v2\logs\scanner_data.json
04:32:04 [DEBUG] Saved 11761 tickers to scanner_v2\logs\scanner_data.json
04:32:34 [DEBUG] Saved 11761 tickers to scanner_v2\logs\scanner_data.json
04:33:05 [DEBUG] Saved 11761 tickers to scanner_v2\logs\scanner_data.json
04:33:35 [DEBUG] Saved 11761 tickers to scanner_v2\logs\scanner_data.json
04:34:05 [DEBUG] Saved 11762 tickers to scanner_v2\logs\scanner_data.json
04:34:36 [DEBUG] Saved 11762 tickers to scanner_v2\logs\scanner_data.json
04:35:06 [DEBUG] Saved 11762 tickers to scanner_v2\logs\scanner_data.json
04:35:37 [DEBUG] Saved 11762 tickers to scanner_v2\logs\scanner_data.json
04:36:07 [DEBUG] Saved 11762 tickers to scanner_v2\logs\scanner_data.json
04:36:37 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
04:37:08 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
04:37:38 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
04:38:08 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
04:38:39 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
04:39:09 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
04:39:40 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
04:40:10 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
04:40:40 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
04:41:11 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
04:41:41 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
04:42:11 [DEBUG] Saved 11763 tickers to scanner_v2\logs\scanner_data.json
